CustomerID,FirstName,Lastname,Phone,Address01,Address02,City,State,ZipCode,ZipPlus4
1262878,Susan,Farquaad,9522362008,1234 Sessame St.,,Atlantis,MN,50605,9214
1444675,Susan,,7639699952,1234 Sessame St.,,Atlantis,MN,50664,86
1876834,Madona,Racca,9521059940,1234 Sessame St.,,Atlantis,MN,50691,820
1073237,Melody,John,7634452836,1234 Sessame St.,,Atlantis,MN,50610,3896
1405660,Michael,Jenkins,9520712939,1234 Sessame St.,,Atlantis,MN,50585,9278
1211322,Buffy,Farquaad,6121818694,1234 Sessame St.,,Atlantis,MN,50581,6141
1515330,Melody,,9523240096,1234 Sessame St.,,Atlantis,MN,50534,6634
1417376,Susan,Farquaad,9513145058,1234 Sessame St.,,Atlantis,MN,50602,1344
1931236,Buffy,Jenkins,9528110053,1234 Sessame St.,,Atlantis,MN,50739,2750
1270173,Madona,Farquaad,7632534783,1234 Sessame St.,,Atlantis,MN,50636,9719
1299223,Michael,Jenkins,7632113358,1234 Sessame St.,,Atlantis,MN,50539,3870
1121371,Lord,Jenkins,9529789604,1234 Sessame St.,,Atlantis,MN,50507,9534
1094925,Melody,Racca,9524301729,1234 Sessame St.,,Atlantis,MN,50592,6316
1812852,John,Jenkins,6126701417,1234 Sessame St.,,Atlantis,MN,50601,7972
1984417,Susan,Lindgrin,9510065296,1234 Sessame St.,,Atlantis,MN,50622,4957
1819692,Madona,Farquaad,7639619573,1234 Sessame St.,,Atlantis,MN,50577,9203
1263390,Madona,Lindgrin,9528848244,1234 Sessame St.,,Atlantis,MN,50580,7193
1635499,Buffy,Michael,7630809666,1234 Sessame St.,,Atlantis,MN,50705,8302
1041949,John,Farquaad,7638158714,1234 Sessame St.,,Atlantis,MN,50635,4715
1343837,Melody,,9516614961,1234 Sessame St.,,Atlantis,MN,50698,3627
1044283,Michael,Lindgrin,9520603712,1234 Sessame St.,,Atlantis,MN,50763,1655
1293397,Susan,Lindgrin,6120345868,1234 Sessame St.,,Atlantis,MN,50764,2289
1087519,Michael,Michael,9511014177,1234 Sessame St.,,Atlantis,MN,50533,7567
1253091,Susan,Jenkins,9521370799,1234 Sessame St.,,Atlantis,MN,50552,2534
1608538,Buffy,,6126540745,1234 Sessame St.,,Atlantis,MN,50755,9508
1349620,Madona,Farquaad,6123176404,1234 Sessame St.,,Atlantis,MN,20782,4106
1320143,Melody,Jenkins,7637354612,1234 Sessame St.,,Atlantis,MN,50654,633
1072930,Moe,Farquaad,7638786771,1234 Sessame St.,,Atlantis,MN,50708,2063
1000015,Susan,Farquaad,7638250236,1234 Sessame St.,,Atlantis,MN,50775,9283
1479118,John,John,6128319731,1234 Sessame St.,,Atlantis,MN,50688,2388
1671389,John,,7631933675,1234 Sessame St.,,Atlantis,MN,50742,3823
1158687,Moe,Farquaad,9528425783,1234 Sessame St.,,Atlantis,MN,50796,6401
1366372,Melody,Jenkins,7632690030,1234 Sessame St.,,Atlantis,MN,50729,2976
1090112,Lord,John,6126403274,1234 Sessame St.,,Atlantis,MN,80386,2944
1392586,Susan,,9529449304,1234 Sessame St.,,Atlantis,MN,50747,1113
1794236,Susan,Michael,9528904115,1234 Sessame St.,,Atlantis,MN,55449,5297
1636490,Buffy,,6128057430,1234 Sessame St.,,Atlantis,MN,50722,5778
1443762,Moe,Lindgrin,9529157338,1234 Sessame St.,,Atlantis,MN,11479,8047
1302050,Michael,Racca,6126727094,1234 Sessame St.,,Atlantis,MN,50754,2171
1222720,Michael,Racca,9520165740,1234 Sessame St.,,Atlantis,MN,50677,1929
1091474,Melody,Farquaad,9510674060,1234 Sessame St.,,Atlantis,MN,50629,426
1077903,Melody,Racca,7636276357,1234 Sessame St.,,Atlantis,MN,50576,473
1011150,Buffy,Farquaad,9523074241,1234 Sessame St.,,Atlantis,MN,50630,34
1069222,Buffy,,9516953723,1234 Sessame St.,,Atlantis,MN,50719,1033
1071740,Michael,Summers,9522455329,1234 Sessame St.,,Atlantis,MN,50679,2452
1441399,Lord,Michael,6120619286,1234 Sessame St.,,Atlantis,MN,50519,9234
1426396,Melody,Michael,9518349529,1234 Sessame St.,,Atlantis,MN,50696,5870
1093533,Susan,Michael,7635806505,1234 Sessame St.,,Atlantis,MN,50583,6187
1755499,Michael,Summers,7638765254,1234 Sessame St.,,Atlantis,MN,50572,9133
1003685,Michael,John,6124063710,1234 Sessame St.,,Atlantis,MN,50516,6915
1632498,Madona,Farquaad,7635425674,1234 Sessame St.,,Atlantis,MN,50642,8110
1847281,Susan,,7635989916,1234 Sessame St.,,Atlantis,MN,50743,1389
1555820,Buffy,Michael,6128163252,1234 Sessame St.,,Atlantis,MN,50740,1775
1554188,Michael,Michael,6122025435,1234 Sessame St.,,Atlantis,MN,50565,7286
1940994,Madona,Summers,9527703880,1234 Sessame St.,,Atlantis,MN,50604,8929
1904189,Madona,John,9520506635,1234 Sessame St.,,Atlantis,MN,50613,5412
1040934,Susan,Lindgrin,6124263248,1234 Sessame St.,,Atlantis,MN,50704,1368
1525860,Melody,,9513118394,1234 Sessame St.,,Atlantis,MN,94230,1458
1000047,Moe,Summers,6125848457,1234 Sessame St.,,Atlantis,MN,50517,8753
1992974,Madona,Michael,9523050473,1234 Sessame St.,,Atlantis,MN,50752,9904
1556773,Susan,Racca,9514587384,1234 Sessame St.,,Atlantis,MN,,9058
1936539,Buffy,Racca,9520461876,1234 Sessame St.,,Atlantis,MN,50651,5061
1715382,Melody,Michael,7638614117,1234 Sessame St.,,Atlantis,MN,50804,3650
1203946,John,Jenkins,6120023344,1234 Sessame St.,,Atlantis,MN,50601,4630
1729853,Lord,Farquaad,7633458542,1234 Sessame St.,,Atlantis,MN,50541,3305
1653869,Melody,Lindgrin,6126235508,1234 Sessame St.,,Atlantis,MN,50597,6734
1101533,Michael,Farquaad,7637979705,1234 Sessame St.,,Atlantis,MN,50741,6753
1753463,Melody,Michael,9525675105,1234 Sessame St.,,Atlantis,MN,50688,5117
1516307,Madona,Lindgrin,9525666015,1234 Sessame St.,,Atlantis,MN,50636,1827
1141277,Susan,John,7633959522,1234 Sessame St.,,Atlantis,MN,50554,1719
1878990,Melody,John,9518891895,1234 Sessame St.,,Atlantis,MN,50635,1858
1237617,Lord,Jenkins,9525740810,1234 Sessame St.,,Atlantis,MN,50719,7974
1067012,Lord,John,9524877129,1234 Sessame St.,,Atlantis,MN,50553,2055
1897327,Susan,Lindgrin,7630215700,1234 Sessame St.,,Atlantis,MN,50552,7379
1933681,Madona,Lindgrin,7634797469,1234 Sessame St.,,Atlantis,MN,50747,5552
1568793,Buffy,Summers,7632379250,1234 Sessame St.,,Atlantis,MN,63399,5710
1000320,Michael,,7630149071,1234 Sessame St.,,Atlantis,MN,50752,6681
1464706,Susan,Jenkins,6126580113,1234 Sessame St.,,Atlantis,MN,5783,4969
1734649,Lord,Michael,6123382390,1234 Sessame St.,,Atlantis,MN,50732,4765
1389839,John,Farquaad,6122955259,1234 Sessame St.,,Atlantis,MN,61920,3530
1414685,Moe,Racca,9515194276,1234 Sessame St.,,Atlantis,MN,50611,8992
1714589,Madona,Summers,7635429109,1234 Sessame St.,,Atlantis,MN,50538,3311
1735896,Michael,Michael,7639494305,1234 Sessame St.,,Atlantis,MN,50651,6020
1479766,Buffy,John,9521484864,1234 Sessame St.,,Atlantis,MN,50796,5328
1270570,Madona,Michael,9524648327,1234 Sessame St.,,Atlantis,MN,50636,1564
1181676,Melody,Jenkins,7633107975,1234 Sessame St.,,Atlantis,MN,50716,9837
1096378,Susan,Jenkins,6127331830,1234 Sessame St.,,Atlantis,MN,50643,5950
1629895,Buffy,Lindgrin,9512596079,1234 Sessame St.,,Atlantis,MN,63253,7508
1950415,John,Racca,9511627225,1234 Sessame St.,,Atlantis,MN,50613,4437
1985393,Madona,Michael,9523787225,1234 Sessame St.,,Atlantis,MN,50799,6136
1952013,Madona,Michael,9510128866,1234 Sessame St.,,Atlantis,MN,50765,7079
1763148,Madona,Lindgrin,9515569027,1234 Sessame St.,,Atlantis,MN,50574,2141
1680471,Madona,Michael,9520893761,1234 Sessame St.,,Atlantis,MN,50551,955
1374236,John,Lindgrin,7637131843,1234 Sessame St.,,Atlantis,MN,50745,9496
1054758,Moe,,7634904747,1234 Sessame St.,,Atlantis,MN,50524,5848
1136028,Moe,,7632305894,1234 Sessame St.,,Atlantis,MN,50534,6306
1689795,John,Farquaad,6122292416,1234 Sessame St.,,Atlantis,MN,50711,1885
1285528,Buffy,Jenkins,9527841374,1234 Sessame St.,,Atlantis,MN,50796,6635
1570552,Moe,,6125879981,1234 Sessame St.,,Atlantis,MN,50654,6028
1305619,Buffy,Jenkins,6124824575,1234 Sessame St.,,Atlantis,MN,50751,9752
1460242,Moe,Racca,6123540583,1234 Sessame St.,,Atlantis,MN,50763,5479
1395842,John,Lindgrin,9512605558,1234 Sessame St.,,Atlantis,MN,50583,3939
1767324,Buffy,Jenkins,6127479688,1234 Sessame St.,,Atlantis,MN,50533,6831
1483163,Melody,Racca,9523524154,1234 Sessame St.,,Atlantis,MN,50534,6243
1782421,Moe,Summers,9528201160,1234 Sessame St.,,Atlantis,MN,50706,7988
1301231,Moe,,9514825480,1234 Sessame St.,,Atlantis,MN,50688,2941
1916527,Moe,John,6120412928,1234 Sessame St.,,Atlantis,MN,50573,6023
1233183,Buffy,Summers,7630808891,1234 Sessame St.,,Atlantis,MN,50700,6430
1597683,Michael,Summers,6126830469,1234 Sessame St.,,Atlantis,MN,50770,2087
1659051,Michael,Farquaad,6121601772,1234 Sessame St.,,Atlantis,MN,50757,67
1711130,Susan,,9524192831,1234 Sessame St.,,Atlantis,MN,50661,4306
1351949,Melody,Jenkins,6128213671,1234 Sessame St.,,Atlantis,MN,50649,6277
1362388,Susan,,7632509164,1234 Sessame St.,,Atlantis,MN,77114,9274
1689107,Moe,Summers,9515496934,1234 Sessame St.,,Atlantis,MN,50583,1960
1306219,Lord,Racca,6121863886,1234 Sessame St.,,Atlantis,MN,50599,5192
1710034,Susan,Racca,9514518366,1234 Sessame St.,,Atlantis,MN,50727,4981
1589485,Melody,Lindgrin,9529682692,1234 Sessame St.,,Atlantis,MN,50717,8400
